NO,KODE,NAMA BAHAN,SUMBER,AIR,ENERGI,PROTEIN,LEMAK,KH,SERAT,ABU,KALSIUM,FOSFOR,BESI,NATRIUM,KALIUM,TEMBAGA,SENG,RETINOL,B-KAR,KAR-TOTAL,THIAMIN,RIBOFLAVIN,NIASIN,VIT_C,
,,,,(g),(Kal),(g),(g),(g),(g),(g),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mcg),(mcg),(mcg),(mg),(mg),(mg),(mg),
978,GP058,Cakalang asar (asap),KZGMI-2001,64.3,155,20.1,3.8,10.2,,1.6,20,240,2.1,90,390,0.3,0.1,86,,,,0.7,0.2,,
979,GP059,"Dendeng belut, goreng, masakan",KZGPI- 1990,8.2,382,55.7,14.1,8,0,14,1069,654,15.4,,,,,28,,1480,0.48,,,0,
980,GP060,"Dendeng mujahir, goreng, masakan",KZGPI- 1990,6.5,598,74.3,26.9,9.2,0,13.1,1957,1447,7.4,,,,,18,,25,0.19,,,0,
981,GP061,Fillet o-fish,KZGMS-1993,51,270,12.3,15.9,19.3,0.2,1.5,239,272,1.8,439,,,,34,,580,0.59,,,0,
982,GP062,"Gete kuah asam, masakan",KZGMI-2001,80.1,75,8.2,2,6,,3.8,1620,880,0.8,260,150,0.1,1.5,,,,,,0.1,,
983,GP063,"Gulai asam keueung, masakan",KZGMI-2001,86,52,10,0.5,1.8,,1.7,62,102,0.3,332,141,0,1,,,,0.18,0.34,,,
984,GP065,"Gulai ikan, masakan",KZGMS-1993,75.7,106,16.5,3.3,2.5,,2,306,196,4.8,743,,,,86,,2760,0.32,,,0,
985,GP064,"Gulai ikan paya, masakan",KZGMI-2001,72.1,148,10,9.8,5,,3.1,103,82,0.7,525,256,0.1,0.9,,,,0.26,0.02,,,
986,GP066,"Gulai keumamah, masakan",KGZMI-2001,81.4,110,5.9,8.2,3.2,,1.3,32,96,1,335,121,0.2,0.9,,,,0.33,0.04,,,100
987,GP067,"Gulai tiram, masakan",KZGMI-2001,73.1,132,9,7.2,7.8,,2.9,53,134,3.7,285,133,1.1,0.7,389,,,0.29,0.12,,,
988,GP068,"Gurame asem manis, masakan",KZGPI- 1990,63.1,192,12.7,10.1,12.7,0,2.4,283,169,1.1,,,,,19,,1440,0.1,,,0,
989,GP069,"Ikan asar merah, masakan",KZGMI-2001,69.2,146,17.7,5.9,5.6,,1.6,100,240,4,170,310,0.3,1.4,224,0,,,,,,
990,GP070,"Jambal goreng, masakan",KZGMS-1993,13.4,286,48.5,9.2,2.3,,26.6,207,457,3.3,,,,,109,,160,0.4,,3.1,0,
994,GP074,"Model, masakan",KZGMI-2001,83.9,79,2.2,4,8.6,,1.3,8,33,0.8,147,34,0.1,0.5,,,,0.16,0.02,,,
995,GP075,"Mujahir acar kuning, masakan",KZGPI- 1990,43.1,330,17.8,23.4,12.1,1.1,4.6,154,357,5.3,,,,,24,,4130,0.15,,,0,
996,GP076,"Parede baleh, masakan",KZGMI-2001,80,87,10.5,2.5,5.5,,1.5,35,215,0.9,416,59,0.1,0.2,,,,0.24,0,0.7,,
997,GP077,"Pempek adaan, masakan",KZGMI-2001,62.6,162,4.9,3,27.8,,1.7,26,116,1,488,119,0.1,0.2,,,,0.3,0.03,1,,
998,GP078,"Pempek belida, masakan",,61.4,156,4.2,1.4,31.6,0.2,1.4,100,55,3.3,,,,,0,,0,0.03,,,0,
999,GP079,"Pempek kapal selam, masakan",KZGMI-2001,63.4,152,4.5,2.3,28.2,,1.6,19,115,1.6,628,91,0.1,0.2,,,,0.2,0.03,1,,
1000,GP080,"Pempek kelesan, masakan",KZGPI- 1990,53,211,12.3,6.1,26.6,0.4,2,840,176,1.8,,,,,14,,888,0.25,,,0,
1001,GP081,"Pempek kulit, masakan",KZGMI-2001,45.7,243,5.2,7.3,39.1,,2.7,16,96,2,555,102,0.1,0.6,,,,0.2,0.02,0.9,,
1002,GP082,"Pempek telur, masakan",KZGMI-2001,62.4,156,4.7,2.7,28.3,,1.9,13,83,1.3,448,48,0.1,0.6,,,,0.2,0.05,1.1,,
1003,GP083,"Pempek tenggiri, masakan",KZGPI- 1990,56.3,173,7.2,1.2,33.4,0.2,1.9,164,80,3.1,,,,,0,,0,0.02,,,0,
1004,GP084,"Pencok lele, masakan",KZGPI- 1990,47.5,372,7.8,36.3,3.5,0,4.9,289,295,5.3,,,,,64,0,12070,0.12,,,0,
1006,GP086,"Pindang kenari, masakan",KZGMI-2001,80.1,124,9.5,9.6,0,,2.8,120,220,1.3,370,270,0.3,1.2,18,381,,,,0.1,,
1010,GP090,Sate Bandeng,BKP,47.1,283,12.1,16.8,20.9,2,3.1,118,186,1.2,543,199,0.2,0.9,,2,0,0.02,"0,02",0,0,82.4
1012,GP092,"Tekwan, masakan",KZGMI-2001,86.7,53,1.9,0.9,9.4,,1.1,9,41,1,174,42,0,0,99,,,0.1,0.02,0.4,,
1013,GP093,"Teri belado, masakan",KZGPI- 1990,25.8,365,23.7,22.3,17.5,0,10.9,869,348,4,,,,,27,,1567,0.13,,,0,
1014,GP094,"Tumis bandeng, masakan",KZGMI-2001,70.5,189,11.3,15.7,0.6,,1.9,56,129,0.4,314,280,0.1,0.7,579,,,0.46,0.02,,,
1016,HR001,"Telur ayam kampung, segar",KZGMI-2001,73.1,174,10.8,14,1.2,0,0.9,68,268,4.9,190,141,0.6,1.5,203,23,125,0.78,0.62,0.2,,87
1017,HR002,"Telur ayam ras, segar",KZGPI-1990,74.3,154,12.4,10.8,0.7,0,0.8,86,258,3,142,118.5,0.16,1,61,22,104,0.12,0.38,0.2,0,89
1018,HR003,"Telur ayam ras, bagian kuning, segar",DABM-1964,49.4,355,16.3,31.9,0.7,0,1.7,147,586,7.2,111,107.5,0.2,2.5,606,63,,0.27,0.51,0.1,0,100
1019,HR004,"Telur Ayam ras,bagian putih, segar",DABM-1964,87.8,50,10.8,0,0.8,0,0.6,6,17,0.2,164,138.5,0.03,0.4,0,0,,0,0.26,0.4,0,100
1020,HR005,"Telur bebek alabio, segar",KZGMI-2001,70,187,11.8,14.2,3,0,1,60,268,6,115,80,0.6,1.7,180,437,,1.55,0.37,0.1,,90
1021,HR006,"Telur bebek, bagian kuning, segar",DABM-1964,47,386,17,35,0.8,0,0.2,150,400,7,106,90.7,0.09,2.5,870,747,,0.6,0.68,1.4,0,100
1022,HR007,"Telur bebek, bagian putih, segar",DABM-1964,88,54,11,0,0.8,0,0.2,21,20,0.1,184,150.2,0.13,0.1,0,0,,0.01,0.02,0.1,0,100
1023,HR008,"Telur bebek tambak, segar",KZGMI-2001,67.7,187,10.9,12.4,7.9,0,1.1,64,295,5.4,209,146,0.4,1.8,378,471,375,1.62,0.03,0.1,,90
1026,HR011,"Telur burung puyuh, segar",FCTEA-1972,79.8,116,10.7,7,1.6,0,0.9,65,191,3.5,111,11,0.05,1.2,95,80,,0.13,0.65,0.1,0,100
1027,HP001,"Telur ayam, dadar, masakan",KZGPI-1990,61.9,251,16.3,19.4,1.4,0,1,62,250,2.5,,,,,36,,221,0.21,0,,0,100
1028,HP002,"Telur bebek, asin, mentah",DABM-60/64,66.5,179,13.6,13.3,4.4,0,2.2,120,157,1.8,483,140.1,,,253,13,,0.28,0.98,0.6,0,83
1029,HP003,"Telur bebek, dadar, masakan",KZGPI-1990,55.1,301,20,23.7,0,0,1.2,71,600,9.2,,,,,122,,613,0.35,,,0,100
1030,HP004,"Ikan, telur, asin, mentah",KZGMI-2001,37.8,358,20.7,26.4,9.4,0,5.7,48,311,15.1,2684,59,0.4,3,1866,0,,0.21,0.54,2.1,,100
1035,JR002,Susu ibu - ASI,FCTEA-1972,88.1,62,1.5,3.2,7,0,0.2,34,20,0.2,15,41,0.01,0.4,,7,,0.01,0.03,0.2,,100
1036,JR003,"Susu kambing, segar",DABM-1964,85.9,64,4.3,2.3,6.6,0,0.9,98,78,2.7,35,160,0.33,0.1,38,0,,0.06,0.45,0.3,1,100
1037,JR004,"Susu kerbau, segar",DABM-1964,73.8,160,6.3,12,7.1,,0.8,216,101,0.2,82,,,0.3,24,,,0.04,0.07,,1,100
1038,JR005,"Susu kuda, segar",FCTEA-1972,91,40,2,1.1,5.4,0,0.4,,,,,37.4,0,0,,1,,0,0.2,0.2,,100
1039,JR006,"Susu sapi, segar",DABM-1964,88.3,61,3.2,3.5,4.3,0,0.7,143,60,1.7,36,149,0.02,0.3,39,12,,0.03,0.18,0.2,1,100
1040,JP001,Es krim,DABM-1964,62.1,210,4,12.5,20.6,0,0.8,123,99,0.1,78,193.4,0,0.7,158,0,,0.04,0.23,0.1,1,100
1041,JP002,Hangop,DABM-1964,84,65,10,1,3.5,0,1.5,180,190,0.2,126,374.4,0,,,22,,0.03,0.43,0.2,,100
1042,JP003,Keju,DABM-1964,38.5,326,22.8,20.3,13.1,0,5.3,777,338,1.5,1410,82.7,0.03,3.1,227,128,,0.01,0.37,0.1,1,100
1043,JP004,Kwark (Quark),DABM-1964,59,242,19,17,3,0,2,300,350,0.5,37,72.7,0.01,0.2,173,0,,0.03,0.38,0,,100
1044,JP005,"Susu asam untuk bayi, bubuk",DABM-1964,2.5,418,19,9,65.5,0,4,800,600,7,188,486.5,0,0,303,83,,1,1.31,0.7,30,100
1045,JP006,Susu bubuk,DABM-1964,3.5,513,24.6,30,36.2,0,5.7,904,694,0.6,380,1330,0.02,4.1,476,118,,0.29,1.39,1.6,6,100
1046,JP007,Susu kental manis,DABM-1964,25,343,8.2,10,55,0,1.8,275,209,0.2,150,320,0.02,1,155,46,,0.05,0.43,0.4,1,100
1047,JP008,Susu kental tak manis,DABM-1964,73.7,138,7,7.9,9.9,,1.5,243,195,0.2,140,303,,,121,,,0.05,,0,1,100
1048,JP009,"Susu skim, bubuk",DABM-1964,3.5,359,35.6,1,52,0,7.9,1300,1030,0.6,470,1745,0.04,4.1,,10,,0.35,1.05,1.2,7,100
1049,JP010,"Susu skim, segar",DABM-1964,90.5,36,3.5,0.1,5.1,,0.8,123,97,0.1,38,,,,0,,,0.04,,,1,100
1050,JP011,"Yoghurt, segar",DABM-1964,88,52,3.3,2.5,4,0,2.2,120,90,0.1,40,299,0.01,0.6,22,10,,0.04,0.1,0.2,0,100
1051,KR001,"Kelapa setengah tua, daging, segar",DABM-1964,70,180,4,15,10,2.4,1,8,55,1.3,4,317.7,0.3,2.9,,0,10,0.1,0.01,0.1,4,53
1052,KR002,"Kelapa tua, daging, segar",DABM-1964,46.9,359,3.4,34.7,14,4.7,1,21,98,2,3,293.9,0.4,1.1,0,0,,0.1,0,0,2,53
1053,KR003,Lemak babi (lard),DABM-1964,0,902,0,100,0,0,0,0,0,0,0,0,9,0.1,0,0,,0,0,0,0,100
1054,KR004,Lemak babi (bacon),DABM-1964,20,626,9.1,65,1.1,0,4.8,13,108,0.8,0,0,0,0.9,0,0,,0.4,0,0,0,100
1055,KR005,Lemak ikan,KZGMI-2001,43.3,372,12,29.4,14.4,0,0.3,20,230,32.7,60,52,0.4,1.1,,,,0.5,0.13,,,100
1056,KR006,Lemak kerbau (lemak sapi),DABM-1964,5,818,1.5,90,0,0,3.5,0,0,0,29,25.8,0,0,0,283,,0,0,0.7,0,100
1057,KR007,"Minyak hiu, hati",DABM-1964,0,902,0,100,0,0,0,0,0,0,0,0,0,0,21212,0,,0,0,0,0,100
1058,KR008,Minyak ikan,DABM-1964,0,902,0,100,0,0,0,0,0,0,0,0,0,0,24242,0,,0,0,0,0,100
1059,KR009,Minyak kacang tanah,DABM-1964,0,902,0,100,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,100
1060,KR010,Minyak kedelai,FCTEA-1972,0.1,883,0,99.9,0,0,0,0,0,0,0,0.1,0,0,0,0,,0,0,0,0,100
1061,KR011,Minyak kelapa,DABM-1964,0,870,1,98,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,100
1062,KR012,Minyak kelapa sawit,DABM-1964,0,884,0,100,0,0,0,0,0,0,0,0,0,0,,18181,,0,0,0,0,100
1063,KR013,Minyak wijen,FCTEA-1972,0.1,881,0.2,99.7,0,0,0,10,5,0.1,2,20,0,0,0,0,,0,0.07,0.1,0,100
1064,KR014,Minyak zaitun,DABM- 1964,0,884,0,100,0,0,0,14,0,1.2,7,0,0,0,,0,,0,0,5,,100
1065,KP001,Margarin,DABM-1964,15.5,720,0.6,81,0.4,0,2.5,20,16,0,760,25.9,0,0,606,633,,0,0,0,0,100
1066,KP002,Mentega,DABM- 1964,16,742,0.5,81.6,1.4,0,1.9,15,16,1.1,653,103,0,0.4,1000,155,,0,0.1,0,,100
1067,KP003,Santan (dengan air),DABM-1964,80,122,2,10,7.6,1.4,0.4,25,30,0.1,9,162.4,0.2,0.4,0,,,0,0,0.5,2,100
1068,KP004,Santan murni,DABM-1964,54.9,324,4.2,34.3,5.6,0,1,14,45,1.9,18,514.1,0.4,0.9,0,0,,0,0,0.5,2,100
1069,MP001,"Coklat manis, batang",DABM- 1964,1.4,527,2,29.8,62.7,6.5,4.1,63,287,,6,499.5,0,0,,,30,0.03,0.02,0,0,100
1070,MP002,"Coklat pahit,batang",DABM- 1964,2.3,615,5.5,52.9,29.2,10.8,0.1,98,446,4.4,20,708.3,1.7,3.3,,2,60,0.05,0.08,1,0,100
1071,MP003,"Coklat susu, batang",DABM- 1964,1,565,9,35,53.6,3.4,1.4,200,200,2,100,405.5,0.49,2.3,,54,30,0.08,0.45,0.5,0,100
1072,MP004,Coklat bubuk,DABM- 1964,3.9,311,8,23.8,48.9,32.6,15.4,125,715,11.6,,,,,,,30,0.12,,0.6,,
1073,MP005,Gula aren,DABM- 1964,7,368,0,0,92,0,1,75,35,3,15,390.4,0.04,26.4,0,0,,0,0.01,0.5,0,100
1074,MP006,Gula kelapa,DABM- 1964,10,386,3,10,76,0,1,76,37,2.6,2,0,0,0,0,0,,0,0.34,0.5,0,100
1075,MP007,Gula putih,DABM- 1964,5.4,394,0,0,94,0,0.6,5,1,0.1,1,4.75,0,0,0,0,,0,0,0,0,100
1076,MP008,"Jam, selai",DABM- 1964,34,239,0.5,0.6,64.5,1,0.4,20,20,1,30,73.1,0.09,0,0,0,,0.01,0.07,0,0,100
1077,MP009,Kopi bubuk instant,FCTEA-1972,2.6,129,12.3,0.5,35,0,9.7,179,383,5.6,72,3256,0.14,0,,0,0,0,0.21,30.6,0,100
1078,MP010,Madu,DABM- 1964,20,294,0.3,0,79.5,0.2,0.2,5,16,0.9,6,26.9,0.04,0.2,0,0,,0,0.04,0.1,4,100
1079,MP011,Markisa squash,KZGMI-2001,46.7,217,2.5,1,49.6,,0.2,6,83,0.6,14,65,0,0.1,,23,75,0.07,0.02,0,14,
1080,MP012,"Markisa squash, BD",KZGMI-2001,74.4,104,1.2,0.5,23.7,,0.2,1,88,0.5,40,40,0,0.1,,7,40,0.2,0.02,0,12,
1081,MP013,Melase,DABM- 1964,21.2,276,,0.1,71,0,7.7,6,83,0.6,14,,0,0.3,0,0,,0.04,,,0,100
1082,MP014,Sirup,DABM- 1964,44,213,0,0,55,0,1,0,0,0,3,4.2,,,,0,,0,0,0,,100
1083,MP015,Sirup pirous,KZGMI-2001,43.3,228,0.2,0.4,55.9,0,0.2,470,93,29.5,3,4.2,,,,0,0,0,0,0,8,
1084,MP016,Teh hijau daun kering,FCTEA-1972,7.7,300,28.3,4.8,53.6,9.6,5.6,245,415,18.9,60,5873.9,0.5,0,,8400,,0.38,1.24,4.6,230,100
1085,MP017,Teh hitam daun kering,FCTEA-1972,8,293,24.5,2.8,58.8,8.7,5.9,327,313,24.3,50,5854.8,0,0,0,2700,,0.07,0.8,7.6,9,100
1086,MP018,Teh melati daun kering,FCTEA-1972,8.1,299,24.1,3.5,59,9.7,5.3,320,185,31.6,70,5848.4,0.53,0,0,8400,,0.07,0.79,7.3,85,100
1087,NR001,"Asam arang coklat, segar",KZGPI- 1990,66.1,130,0.5,1.1,30.9,1.5,1.4,79,113,4.3,13,,0,,,745,0,0.01,0.2,0,0,
1088,NR002,"Asam arang merah, segar",KZGPI- 1990,75.9,99,0.8,1.6,20.3,2.8,1.4,69,300,4.6,2,96,0,0.1,,529,0,0.01,0.34,1.6,0,
1089,NR003,"Asan kandis, kering",KZGPI- 1990,32.2,261,0.9,1.6,63.3,5,2,192,657,4.4,26,341,0.4,0.3,,0,0,0,0,0.4,0,100
1090,NR004,"Asam kandis, segar",KZGPI- 1990,81.5,75,0.2,1.1,16.1,3.4,1.1,63,139,2.5,93,93,0.1,0.1,,41,0,0.01,0,0.1,0,
1091,NR005,"Asam masak pohon, segar",DABM-1964,31.4,267,2.8,0.6,62.5,1.2,2.7,74,113,0.6,9,139,0.09,0.1,,9,30,0.34,0.04,0.7,2,48
1092,NR006,"Asam payak, segar",KZGPI- 1990,65.1,135,0.8,0.4,32.1,10,1.6,60,39,5.7,0,,,,,,0,0,,,0,
1093,NR007,"Bawang merah, segar",DABM-1964,88,46,1.5,0.3,9.2,1.7,1,36,40,0.8,7,179,0.06,0.2,,2,,0.03,0.04,0.2,2,90
1094,NR008,"Bawang putih, segar",DABM-1964,71,112,4.5,0.2,23.1,0.6,1.8,42,134,1,46,666,0.09,0.4,,0,,0.22,0.07,0.3,15,88
1095,NR009,"Boros kunci, segar",DABM-1964,90,40,1,0.8,7.2,1,1,50,50,2,33,480,0.02,0.3,,0,5000,0.08,0.68,1.7,50,80
1096,NR010,"Boros laja (lengkuas), segar",DABM-1964,93,26,1,0.3,4.7,1.1,1,50,50,2,24,137,0.07,0.3,,5,5000,0.08,0.06,0.3,50,80
1097,NR011,"Cabai gembor merah, segar",KZGPI- 1990,90.8,38,1.6,0.8,6.3,1.6,0.6,49,41,1.1,7,275,0.12,0.2,,5897,3240,0.21,0.12,0,16,89
1098,NR012,"Cabai hijau, segar",DABM-1964,93.4,26,0.7,0.3,5.2,2.6,0.4,14,23,0.4,7,151,0.08,0.2,,44,260,0.05,0.06,0.4,84,82
1099,NR013,"Cabai merah, kering",DABM-1964,10,367,15.9,6.2,61.8,26.9,6.1,160,370,2.3,25,181.5,1.2,1.8,,10955,576,0.4,1.36,4.4,50,85
1100,NR014,"Cabai merah, segar",DABM-1964,90.9,36,1,0.3,7.3,1.4,0.5,29,24,0.5,23,272.4,0.12,0.2,,5833,470,0.05,0.09,3,18,85
1101,NR015,"Cabai rawit, segar",DABM-1964,71.2,120,4.7,2.4,19.9,15.2,1.8,45,85,2.5,34,706.2,0.29,0.6,,1694,11050,0.24,0.09,1.7,70,85
1102,NR016,"Cengkeh, kering",DABM-1964,23.3,330,5.2,8.9,57.4,10,5.2,740,100,4.9,282,961,0.3,0,,265,,200,0,0,,100
1103,NR017,"Daun salam, bubuk",FCTEA-1972,13.1,301,14.2,10.9,49,9.4,12.8,86,250,44.1,180,619,1.31,0.7,0,5400,,0.1,0.32,5,0,100
1104,NR018,"Jahe, segar",DABM-1964,55,51,1.5,1,10.1,12,1.2,21,39,1.6,12,441.7,0.48,0.7,,0,9,0.02,0.17,3.3,4,97
1105,NR019,Kemiri,DABM-1964,7,675,19,63,8,3,3,80,200,2,25,430.7,0.23,0.8,,0,0,0.06,0.06,0.4,0,100
1106,NR020,"Ketumbar, kering",DABM-1964,11.2,418,14.1,16.1,54.2,12.3,4.4,630,370,17.9,91,1787,0.95,4.6,,75,1570,0.2,0.35,1.8,0,100
1107,NR021,Kluwek,DABM-1964,51,310,10,24,13.5,,1.5,40,100,2,,,,,,,0,0.15,,,30,80
1108,NR022,"Kunyit, segar",DABM-1964,84.9,69,2,2.7,9.1,0.6,1.3,24,78,3.3,6,406.7,0.05,0.4,,12,,0.03,0.02,0.4,1,78
1109,NR023,"Merica, kering",DABM-1964,12.9,365,11.5,6.8,64.4,1,4.4,460,200,16.4,4,99.7,0.89,1.1,,0,,0.2,0.1,2.5,,100
1110,NR024,"Pala, biji, kering",DABM-1964,14.3,518,7.5,36.4,40.1,3.5,1.7,120,240,4.6,2,78.7,0.94,2,,7,,0.2,0.02,0.5,0,95
1111,NP001,Balichong,KZGMI-2001,59.9,152,13.2,0.8,22.9,1.5,3.6,380,210,2.9,120,310,0.8,1.1,34,0,,0.01,0.08,0.2,,
1112,NP002,Bekasam,KZGMI-2001,65.5,116,11.9,4.9,6.1,3.5,11.6,704,757,7.5,711,176,0.8,1.9,,0,,0,0.03,2.1,,
1113,NP003,Bekasang,KZGMI-2001,67.1,78,11.4,2,3.6,0.4,15.9,54,97,2.6,4016,121,0.2,4.8,,,,0.15,0.12,0.6,,
1114,NP004,Cuka,DABM-1964,94.5,21,0.1,0.1,5,0,0.3,7,10,0.5,21,37.8,0,0,,0,,0.24,0,0.7,,100
1115,NP005,Kecap,DABM-1964,63,71,5.7,1.3,9,0,21,123,96,5.7,1114,,0.04,,0,,,0,,,0,100
1116,NP006,Petis ikan,DABM-1964,56,165,20,0.2,20.8,,3,37,36,2.8,,,,,,,0,0.01,0.2,0.8,0,100
1117,NP007,Petis udang kering,KZGPI- 1990,8.3,345,23.8,1.4,59.3,0,7.1,221,397,3.8,11998,462.8,0.75,1.9,,0,232,1.02,0.4,2.2,0,100
1118,NP008,Petis udang pasta,DABM-1964,39,220,15,0.9,38,2.3,7.1,37,36,2.8,7981,307.9,0.5,1.3,,0,0,0.01,0.13,1.7,0,100
1119,NP009,Saos tomat,DABM-1964,69.5,110,2,0.4,24.5,0.9,3.6,12,18,0.8,890,129.6,0.18,0.3,,357,570,0.09,0.06,1.7,11,100
1120,NP010,Tempoya,KZGMI-2001,70.1,110,1.7,1.3,21.9,2.6,5,190,45,2.9,597,486.3,,,,71,,0.3,0.04,1.1,0,100
1121,NP011,Terasi,KZGPI- 1990,33.8,155,22.3,2.9,9.9,2.7,31.1,3812,726,78.5,1664,821.4,0.99,2.4,,0,0,0.24,0,3.3,0,100
1122,NP012,Terasi dobo,KZGMI-2001,58.4,191,33.1,3.6,6.6,1.6,11.5,2250,1130,22.9,650,1260,2.9,5,,0,,3.74,0.22,2,,100
1123,NP013,Terasi merah,DABM-1964,40,174,30,3.5,5.6,2.2,20.4,100,150,3.1,7850,302.8,0.49,1.2,,0,0,0,0.12,1.7,0,100
1124,QR001,"Kelapa muda, air, segar",DABM-1964,95.5,0.1,0.2,17,3.8,0,0.4,15,8,0.2,1,149,0.04,0.1,0,0,,0,0,0,1,100
1125,,Sate Ayam,,,227,41.3,6.1,1.8,,,17,405,2.2,,,,,,,6,,,,0.5,100
1126,28 g/sj,Mi Gelas Rasa Bakso,Kemasan  ,,428.5714286,10.71428571,17.85714286,57.14285714,,,,,,3428.571429,,,,,,,,,,,
1127,20 g/sj,JetZ (Snack rasa Coklat),Kemasan JetZ,,500,5,22.5,70,,,,,,450,,,,,,,,,,,100
1128,19 g/sj,MALKIS ROMA KELAPA KOPYOR,kemasan,,473.6842105,5.263157895,15.78947368,73.68421053,,,,,,421.0526316,,,,,,,,,,,100
1129,26 G/SJ,CHOCO PIE,kemasan,,,,,,,,,,,,,,,,,,,,,,
1130,4 G/SJ,KRIUK HIJAU (RUMPUT LAUT),kemasan,,500,25,37.5,50,25,0,0,0,0,1125,0,0,0,0,0,0,0,0,0,0,100
1131,19 G/SJ,KECAP BANGO,kemasan,,315.7894737,0,0,78.94736842,0,0,0,0,0,2105.263158,0,0,0,0,0,0,0,0,0,0,100
,,,,,,,,,,,,,,,,,,,,,,,,,
HASIL PROSES BELAJAR BERSAMA MAHASISWA MENGKONVERSI KANDUNGAN GIZI PER SAJI ATAU PER KEMASAN KEDALAM TKPI PER 100 GRAM,,,,,,,,,,,,,,,,,,,,,,,,,
