NO,KODE,NAMA BAHAN,SUMBER,AIR,ENERGI,PROTEIN,LEMAK,KH,SERAT,ABU,KALSIUM,FOSFOR,BESI,NATRIUM,KALIUM,TEMBAGA,SENG,RETINOL,B-KAR,KAR-TOTAL,THIAMIN,RIBOFLAVIN,NIASIN,VIT_C,
,,,,(g),(Kal),(g),(g),(g),(g),(g),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mcg),(mcg),(mcg),(mg),(mg),(mg),(mg),
417,DR035,"Daun katuk, segar",KZGPI-1990,81,59,6.4,1,9.9,1.5,1.7,233,98,3.5,21,478.8,0.3,1.3,,9152,10020,0,0.31,2.3,16,40
418,DR036,"Daun kecipir, segar",DABM-1964,85,52,5,0.5,8.5,,1,134,81,6.2,6,114,0.3,0.8,,3981,5240,0.28,0.4,2.2,29,70
419,DR037,"Daun kedondong, segar",DABM-1964,81,59,3.5,0.3,13.4,10.7,1.8,540,82,6.2,12,579,,,,1624,2900,0.06,0.2,1.5,29,65
420,DR038,"Daun kelor, segar",KZGMI-2001,75.5,92,5.1,1.6,14.3,8.2,3.5,1077,76,6,61,298,0.1,0.6,,3266,,0.3,0.1,4.2,22,65
421,DR039,"Daun kemang, segar",DABM-1964,85,43,5.5,0.3,7.5,8.4,1.7,35,106,1,10,457.1,,,,1282,1017,0.06,0.1,1.2,30,65
422,DR040,"Daun kenikir, segar",BKP,87.6,45,3.7,0.5,6.6,5.8,1.7,328,65,2.7,6,431,0.1,0.6,,30200,12,0.5,0.3,4.5,0,36.3
423,DR041,"Daun kesum, segar",KZGPI-1990,84.8,48,4.5,0.8,9.1,1.6,0.8,125,142,2.6,11,174.7,0.4,1.2,0,4216,8715,0.01,0.1,1.6,4,53
424,DR042,"Daun kol sawi, segar",KZGPI-1990,93.1,22,2.1,0.5,3.6,0.9,0.7,200,92,3.2,19,386.2,0.1,0.2,0,1806,2177,0.03,0.2,0.6,3,87
426,DR044,"Daun kubis, segar",KZGMI-2001,86.2,51,2.5,1.1,8,3.4,2.2,100,50,3.4,50,100,0.9,0.6,,9999,,0.4,0.1,0.2,16,75
428,DR046,"Daun labu siam, segar",DABM-1964,89.7,34,4,0.4,4.7,3.5,1.2,58,70,2.5,16,630.7,0.2,0.3,,4773,2025,0.08,0.4,1.7,16,100
429,DR047,"Daun labu waluh/kuning, segar",DABM-1964,89.7,34,3.6,0.6,4.5,2.9,1.6,138,99,3.7,16,630.7,0.2,0.3,,1258,2750,0.14,0.2,1.3,36,70
