KODE,NAMA BAHAN,SUMBER,ENERGI,PROTEIN,LEMAK,KH,SERAT,Cluster
DR047,"Daun labu waluh/kuning, segar",DABM-1964,34.0,3.6,0.6,4.5,2.9,0
DR048,"Daun lamtoro, segar",KZGPI-1990,87.0,8.3,1.8,14.4,3.3,0
DR050,"Daun leunca, segar",DABM-1964,49.0,4.7,0.5,8.1,,0
DR051,"Daun lobak, segar",DKBM-1964,30.0,2.3,0.4,5.8,3.2,0
DR055,"Daun melinjo, segar",DABM-1964,104.0,5.0,1.3,21.3,10.3,0
DR056,"Daun mengkudu, segar",KZGPI-1990,65.0,4.0,1.7,11.4,3.9,0
DR058,"Daun oyong, segar",DABM-1964,22.0,1.0,0.1,5.3,2.0,0
DR059,"Daun pakis, segar",KZGPI-1990,39.0,4.5,0.4,6.9,2.0,0
DR060,"Daun pakis longgiho, segar",KZGMI-2001,54.0,2.2,3.6,3.1,2.1,0
DR061,"Daun pakis wambateu, segar",KZGMI-2001,53.0,3.4,1.2,7.2,4.8,0
DR062,"Daun paku, segar",KZGMI-2001,29.0,3.4,0.1,6.5,4.3,0
DR064,"Daun pare, segar",KZGMI-2001,49.0,2.7,1.0,8.4,3.0,0
DR065,"Daun pepaya, segar",DABM-1964,87.0,8.0,2.0,11.9,1.5,0
DR068,"Daun semanggi, segar",KZGPI-1990,45.0,4.4,0.5,8.5,1.9,0
DR070,"Daun singkil, segar",KZGPI-1990,68.0,2.0,1.0,15.2,3.3,0
DR071,"Daun singkong, segar",KZGPI-1990,50.0,6.2,1.1,7.1,2.4,0
DR072,"Daun singkong ambon, segar",DABM-1964,144.0,12.7,1.2,25.2,10.2,0
DR073,"Daun singkong ampenan, segar",KZGMI-2001,50.0,6.2,1.1,71.0,2.4,0
DR074,"Daun singkong kopang, segar",KZGMI-2001,74.0,6.3,0.7,10.7,4.6,0
DR075,"Daun sintrong, segar",KZGPI-1990,36.0,2.6,0.9,6.1,1.7,0
DR076,"Daun talas, segar",KZGPI-1990,59.0,3.0,0.4,13.5,3.0,0
